Review,Aspect,Sentiment,Review_Clean,BERT_Input
"Hingga 2025, masa pengabdian yang ditetapkan adalah dua kali masa studi ditambah satu tahun atau 2N+1.",pengabdian alumni,Netral,hingga 2025 masa pengabdian yang ditetapkan adalah dua kali masa studi ditambah satu tahun atau 2n 1,[CLS] pengabdian alumni [SEP] hingga 2025 masa pengabdian yang ditetapkan adalah dua kali masa studi ditambah satu tahun atau 2n 1 [SEP]
"Namun, LPDP mengubah kebijakan masa pengabdian menjadi 2N per tahun ini.",pengabdian alumni,Netral,namun lpdp mengubah kebijakan masa pengabdian menjadi 2n per tahun ini,[CLS] pengabdian alumni [SEP] namun lpdp mengubah kebijakan masa pengabdian menjadi 2n per tahun ini [SEP]
"Namun, LPDP mengubah kebijakan masa pengabdian menjadi 2N per tahun ini.",kebijakan LPDP,Netral,namun lpdp mengubah kebijakan masa pengabdian menjadi 2n per tahun ini,[CLS] kebijakan LPDP [SEP] namun lpdp mengubah kebijakan masa pengabdian menjadi 2n per tahun ini [SEP]
Kewajiban masa pengabdian tertuang dalam peraturan dan Pedoman Penerima Beasiswa yang menjadi bagian dari kontrak yang disepakati.,pengabdian alumni,Netral,kewajiban masa pengabdian tertuang dalam peraturan dan pedoman penerima beasiswa yang menjadi bagian dari kontrak yang disepakati,[CLS] pengabdian alumni [SEP] kewajiban masa pengabdian tertuang dalam peraturan dan pedoman penerima beasiswa yang menjadi bagian dari kontrak yang disepakati [SEP]
Kewajiban masa pengabdian tertuang dalam peraturan dan Pedoman Penerima Beasiswa yang menjadi bagian dari kontrak yang disepakati.,kebijakan LPDP,Netral,kewajiban masa pengabdian tertuang dalam peraturan dan pedoman penerima beasiswa yang menjadi bagian dari kontrak yang disepakati,[CLS] kebijakan LPDP [SEP] kewajiban masa pengabdian tertuang dalam peraturan dan pedoman penerima beasiswa yang menjadi bagian dari kontrak yang disepakati [SEP]
"Bagi penerima beasiswa yang melanggar, sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program LPDP di masa mendatang.",kebijakan LPDP,Negatif,bagi penerima beasiswa yang melanggar sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program lpdp di masa mendatang,[CLS] kebijakan LPDP [SEP] bagi penerima beasiswa yang melanggar sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program lpdp di masa mendatang [SEP]
"Bagi penerima beasiswa yang melanggar, sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program LPDP di masa mendatang.",kualitas pendidikan,Negatif,bagi penerima beasiswa yang melanggar sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program lpdp di masa mendatang,[CLS] kualitas pendidikan [SEP] bagi penerima beasiswa yang melanggar sanksi yang diberikan berupa pengembalian dana pendidikan hingga pemblokiran akses ke program lpdp di masa mendatang [SEP]
"Selain delapan orang yang telah dijatuhi sanksi pengembalian dana, LPDP juga memeriksa 36 orang yang diduga melakukan pelanggaran.",dana beasiswa,Negatif,selain delapan orang yang telah dijatuhi sanksi pengembalian dana lpdp juga memeriksa 36 orang yang diduga melakukan pelanggaran,[CLS] dana beasiswa [SEP] selain delapan orang yang telah dijatuhi sanksi pengembalian dana lpdp juga memeriksa 36 orang yang diduga melakukan pelanggaran [SEP]
"Selain delapan orang yang telah dijatuhi sanksi pengembalian dana, LPDP juga memeriksa 36 orang yang diduga melakukan pelanggaran.",kebijakan LPDP,Negatif,selain delapan orang yang telah dijatuhi sanksi pengembalian dana lpdp juga memeriksa 36 orang yang diduga melakukan pelanggaran,[CLS] kebijakan LPDP [SEP] selain delapan orang yang telah dijatuhi sanksi pengembalian dana lpdp juga memeriksa 36 orang yang diduga melakukan pelanggaran [SEP]
"Meski begitu, LPDP juga memberikan ruang fleksibilitas bagi alumni dengan kondisi tertentu, misalnya yang bekerja di posisi strategis lembaga riset global.",kualitas pendidikan,Netral,meski begitu lpdp juga memberikan ruang fleksibilitas bagi alumni dengan kondisi tertentu misalnya yang bekerja di posisi strategis lembaga riset global,[CLS] kualitas pendidikan [SEP] meski begitu lpdp juga memberikan ruang fleksibilitas bagi alumni dengan kondisi tertentu misalnya yang bekerja di posisi strategis lembaga riset global [SEP]
"Namun, fleksibilitas itu juga dibarengi dengan komitmen untuk tetap berkontribusi kepada Indonesia.",pengabdian alumni,Positif,namun fleksibilitas itu juga dibarengi dengan komitmen untuk tetap berkontribusi kepada indonesia,[CLS] pengabdian alumni [SEP] namun fleksibilitas itu juga dibarengi dengan komitmen untuk tetap berkontribusi kepada indonesia [SEP]
"Namun, kalau tidak ada komitmen (untuk berkontribusi di Indonesia), langsung kami sanksi,” jelas dia.",pengabdian alumni,Netral,namun kalau tidak ada komitmen untuk berkontribusi di indonesia langsung kami sanksi jelas dia,[CLS] pengabdian alumni [SEP] namun kalau tidak ada komitmen untuk berkontribusi di indonesia langsung kami sanksi jelas dia [SEP]
"Namun, kalau tidak ada komitmen (untuk berkontribusi di Indonesia), langsung kami sanksi,” jelas dia.",kebijakan LPDP,Netral,namun kalau tidak ada komitmen untuk berkontribusi di indonesia langsung kami sanksi jelas dia,[CLS] kebijakan LPDP [SEP] namun kalau tidak ada komitmen untuk berkontribusi di indonesia langsung kami sanksi jelas dia [SEP]
LPDP pun menyiapkan skema magang atau wirausaha bagi alumni dengan periode hingga dua tahun setelah lulus dengan persetujuan LPDP dan memenuhi syarat yang ditetapkan.,proses seleksi,Netral,lpdp pun menyiapkan skema magang atau wirausaha bagi alumni dengan periode hingga dua tahun setelah lulus dengan persetujuan lpdp dan memenuhi syarat yang ditetapkan,[CLS] proses seleksi [SEP] lpdp pun menyiapkan skema magang atau wirausaha bagi alumni dengan periode hingga dua tahun setelah lulus dengan persetujuan lpdp dan memenuhi syarat yang ditetapkan [SEP]
"Kebetulan, suami DS, yakni AP sama-sama penerima LPDP belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima.",pengabdian alumni,Negatif,kebetulan suami ds yakni ap sama sama penerima lpdp belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima,[CLS] pengabdian alumni [SEP] kebetulan suami ds yakni ap sama sama penerima lpdp belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima [SEP]
"Kebetulan, suami DS, yakni AP sama-sama penerima LPDP belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima.",kebijakan LPDP,Negatif,kebetulan suami ds yakni ap sama sama penerima lpdp belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima,[CLS] kebijakan LPDP [SEP] kebetulan suami ds yakni ap sama sama penerima lpdp belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima [SEP]
"Beasiswa LPDP memang mewajibkan awardee atau penerimanya kembali ke Indonesia setelah menyelesaikan studi dengan skema 2N+1, yakni masa pengabdian dua kali masa studi ditambah satu tahun.",pengabdian alumni,Netral,beasiswa lpdp memang mewajibkan awardee atau penerimanya kembali ke indonesia setelah menyelesaikan studi dengan skema 2n 1 yakni masa pengabdian dua kali masa studi ditambah satu tahun,[CLS] pengabdian alumni [SEP] beasiswa lpdp memang mewajibkan awardee atau penerimanya kembali ke indonesia setelah menyelesaikan studi dengan skema 2n 1 yakni masa pengabdian dua kali masa studi ditambah satu tahun [SEP]
Muhdi menilai bahwa persoalan penerima LPDP yang tidak menjalankan kewajiban pengabdian semestinya sudah teratasi secara baik dengan adanya pengawasan pascastudi yang betul-betul cermat.,pengabdian alumni,Netral,muhdi menilai bahwa persoalan penerima lpdp yang tidak menjalankan kewajiban pengabdian semestinya sudah teratasi secara baik dengan adanya pengawasan pascastudi yang betul betul cermat,[CLS] pengabdian alumni [SEP] muhdi menilai bahwa persoalan penerima lpdp yang tidak menjalankan kewajiban pengabdian semestinya sudah teratasi secara baik dengan adanya pengawasan pascastudi yang betul betul cermat [SEP]
"Artinya, kata Ketua PGRI Jateng itu, jangan kemudian permasalahan penerima LPDP yang tidak menjalankan kewajiban pengabdian ternyata baru terekspose sekarang setelah adanya kasus DS.",pengabdian alumni,Negatif,artinya kata ketua pgri jateng itu jangan kemudian permasalahan penerima lpdp yang tidak menjalankan kewajiban pengabdian ternyata baru terekspose sekarang setelah adanya kasus ds,[CLS] pengabdian alumni [SEP] artinya kata ketua pgri jateng itu jangan kemudian permasalahan penerima lpdp yang tidak menjalankan kewajiban pengabdian ternyata baru terekspose sekarang setelah adanya kasus ds [SEP]
"Apakah mereka menjalankan kewajiban apa tidak? Kalau tidak, ya berikan sanksi.",kebijakan LPDP,Negatif,apakah mereka menjalankan kewajiban apa tidak kalau tidak ya berikan sanksi,[CLS] kebijakan LPDP [SEP] apakah mereka menjalankan kewajiban apa tidak kalau tidak ya berikan sanksi [SEP]
"Atau, diberi sanksi setelah ada orang yang seperti ini (DS, red.",kebijakan LPDP,Negatif,atau diberi sanksi setelah ada orang yang seperti ini ds red,[CLS] kebijakan LPDP [SEP] atau diberi sanksi setelah ada orang yang seperti ini ds red [SEP]
"Sementara itu, Direktur Utama LPDP Sudarto melaporkan sebanyak 44 penerima beasiswa (awardee) telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan.",pengabdian alumni,Negatif,sementara itu direktur utama lpdp sudarto melaporkan sebanyak 44 penerima beasiswa awardee telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan,[CLS] pengabdian alumni [SEP] sementara itu direktur utama lpdp sudarto melaporkan sebanyak 44 penerima beasiswa awardee telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan [SEP]
"Sementara itu, Direktur Utama LPDP Sudarto melaporkan sebanyak 44 penerima beasiswa (awardee) telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan.",kebijakan LPDP,Negatif,sementara itu direktur utama lpdp sudarto melaporkan sebanyak 44 penerima beasiswa awardee telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan,[CLS] kebijakan LPDP [SEP] sementara itu direktur utama lpdp sudarto melaporkan sebanyak 44 penerima beasiswa awardee telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan [SEP]
"Dari jumlah tersebut, delapan orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima, sementara 36 lainnya masih dalam proses pemeriksaan.",kebijakan LPDP,Negatif,dari jumlah tersebut delapan orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima sementara 36 lainnya masih dalam proses pemeriksaan,[CLS] kebijakan LPDP [SEP] dari jumlah tersebut delapan orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima sementara 36 lainnya masih dalam proses pemeriksaan [SEP]
"Kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan, sanksi termasuk pengembalian 8 orang, 36 lagi sedang dalam proses, katanya.",kebijakan LPDP,Negatif,kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan sanksi termasuk pengembalian 8 orang 36 lagi sedang dalam proses katanya,[CLS] kebijakan LPDP [SEP] kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan sanksi termasuk pengembalian 8 orang 36 lagi sedang dalam proses katanya [SEP]
Ada pula yang telah menyelesaikan masa pengabdian atau mendapat penugasan resmi dari instansinya.,pengabdian alumni,Netral,ada pula yang telah menyelesaikan masa pengabdian atau mendapat penugasan resmi dari instansinya,[CLS] pengabdian alumni [SEP] ada pula yang telah menyelesaikan masa pengabdian atau mendapat penugasan resmi dari instansinya [SEP]
"Dari jumlah tersebut, 8 orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima, sementara 36 lainnya masih dalam proses pemeriksaan.",kebijakan LPDP,Negatif,dari jumlah tersebut 8 orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima sementara 36 lainnya masih dalam proses pemeriksaan,[CLS] kebijakan LPDP [SEP] dari jumlah tersebut 8 orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima sementara 36 lainnya masih dalam proses pemeriksaan [SEP]
"Kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan, sanksi termasuk pengembalian 8 orang, 36 lagi sedang dalam proses, kata Sudarto dalam konferensi pers APBN KiTa di Jakarta, Senin.",kebijakan LPDP,Negatif,kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan sanksi termasuk pengembalian 8 orang 36 lagi sedang dalam proses kata sudarto dalam konferensi pers apbn kita di jakarta senin,[CLS] kebijakan LPDP [SEP] kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan sanksi termasuk pengembalian 8 orang 36 lagi sedang dalam proses kata sudarto dalam konferensi pers apbn kita di jakarta senin [SEP]
Ia menegaskan tidak seluruh laporan otomatis berujung pelanggaran.,dana beasiswa,Negatif,ia menegaskan tidak seluruh laporan otomatis berujung pelanggaran,[CLS] dana beasiswa [SEP] ia menegaskan tidak seluruh laporan otomatis berujung pelanggaran [SEP]
"Terkait sanksi, Sudarto menyebut awardee yang melanggar bisa dikenai pengembalian dana beasiswa beserta bunga, serta pemblokiran untuk mengikuti program LPDP di masa mendatang.",kebijakan LPDP,Negatif,terkait sanksi sudarto menyebut awardee yang melanggar bisa dikenai pengembalian dana beasiswa beserta bunga serta pemblokiran untuk mengikuti program lpdp di masa mendatang,[CLS] kebijakan LPDP [SEP] terkait sanksi sudarto menyebut awardee yang melanggar bisa dikenai pengembalian dana beasiswa beserta bunga serta pemblokiran untuk mengikuti program lpdp di masa mendatang [SEP]
Ketentuan tersebut sudah tercantum dalam perjanjian yang ditandatangani penerima beasiswa.,kebijakan LPDP,Netral,ketentuan tersebut sudah tercantum dalam perjanjian yang ditandatangani penerima beasiswa,[CLS] kebijakan LPDP [SEP] ketentuan tersebut sudah tercantum dalam perjanjian yang ditandatangani penerima beasiswa [SEP]
Itu uang dari pajak (rakyat) dan sebagian dari utang yang kita sisihkan untuk memastikan sumber SDM kita tumbuh.,dana beasiswa,Netral,itu uang dari pajak rakyat dan sebagian dari utang yang kita sisihkan untuk memastikan sumber sdm kita tumbuh,[CLS] dana beasiswa [SEP] itu uang dari pajak rakyat dan sebagian dari utang yang kita sisihkan untuk memastikan sumber sdm kita tumbuh [SEP]
"Pemerintah, lanjutnya, akan menegakkan aturan yang berlaku agar penerima beasiswa memenuhi seluruh tanggung jawabnya kepada LPDP.",kebijakan LPDP,Netral,pemerintah lanjutnya akan menegakkan aturan yang berlaku agar penerima beasiswa memenuhi seluruh tanggung jawabnya kepada lpdp,[CLS] kebijakan LPDP [SEP] pemerintah lanjutnya akan menegakkan aturan yang berlaku agar penerima beasiswa memenuhi seluruh tanggung jawabnya kepada lpdp [SEP]
"Selain pengembalian dana, Purbaya juga mempertimbangkan langkah tegas berupa pencantuman dalam daftar hitam (blacklist) di seluruh instansi pemerintah bagi pihak yang dinilai melanggar komitmen dan etika sebagai penerima beasiswa negara.",kebijakan LPDP,Negatif,selain pengembalian dana purbaya juga mempertimbangkan langkah tegas berupa pencantuman dalam daftar hitam blacklist di seluruh instansi pemerintah bagi pihak yang dinilai melanggar komitmen dan etika sebagai penerima beasiswa negara,[CLS] kebijakan LPDP [SEP] selain pengembalian dana purbaya juga mempertimbangkan langkah tegas berupa pencantuman dalam daftar hitam blacklist di seluruh instansi pemerintah bagi pihak yang dinilai melanggar komitmen dan etika sebagai penerima beasiswa negara [SEP]
Setiap rupiah yang diberikan adalah uang rakyat.,dana beasiswa,Netral,setiap rupiah yang diberikan adalah uang rakyat,[CLS] dana beasiswa [SEP] setiap rupiah yang diberikan adalah uang rakyat [SEP]
"Maka, penerimanya bukan hanya dituntut berprestasi, tetapi juga memiliki komitmen kebangsaan dan orientasi pengabdian yang jelas,” kata pria yang akrab disapa Amure itu di Jakarta, Senin.",pengabdian alumni,Netral,maka penerimanya bukan hanya dituntut berprestasi tetapi juga memiliki komitmen kebangsaan dan orientasi pengabdian yang jelas kata pria yang akrab disapa amure itu di jakarta senin,[CLS] pengabdian alumni [SEP] maka penerimanya bukan hanya dituntut berprestasi tetapi juga memiliki komitmen kebangsaan dan orientasi pengabdian yang jelas kata pria yang akrab disapa amure itu di jakarta senin [SEP]
"Berikutnya, Amure juga mendesak agar pemerintah dan LPDP untuk melakukan evaluasi menyeluruh serta memperketat proses seleksi penerima beasiswa.",proses seleksi,Netral,berikutnya amure juga mendesak agar pemerintah dan lpdp untuk melakukan evaluasi menyeluruh serta memperketat proses seleksi penerima beasiswa,[CLS] proses seleksi [SEP] berikutnya amure juga mendesak agar pemerintah dan lpdp untuk melakukan evaluasi menyeluruh serta memperketat proses seleksi penerima beasiswa [SEP]
"Menurut dia, kasus DS bukan sekadar isu personal atau unggahan media sosial, melainkan juga menyentuh aspek moral publik karena beasiswa LPDP dibiayai oleh dana rakyat melalui APBN dan dana abadi pendidikan.",dana beasiswa,Negatif,menurut dia kasus ds bukan sekadar isu personal atau unggahan media sosial melainkan juga menyentuh aspek moral publik karena beasiswa lpdp dibiayai oleh dana rakyat melalui apbn dan dana abadi pendidikan,[CLS] dana beasiswa [SEP] menurut dia kasus ds bukan sekadar isu personal atau unggahan media sosial melainkan juga menyentuh aspek moral publik karena beasiswa lpdp dibiayai oleh dana rakyat melalui apbn dan dana abadi pendidikan [SEP]
"Menurut dia, kasus DS bukan sekadar isu personal atau unggahan media sosial, melainkan juga menyentuh aspek moral publik karena beasiswa LPDP dibiayai oleh dana rakyat melalui APBN dan dana abadi pendidikan.",kualitas pendidikan,Negatif,menurut dia kasus ds bukan sekadar isu personal atau unggahan media sosial melainkan juga menyentuh aspek moral publik karena beasiswa lpdp dibiayai oleh dana rakyat melalui apbn dan dana abadi pendidikan,[CLS] kualitas pendidikan [SEP] menurut dia kasus ds bukan sekadar isu personal atau unggahan media sosial melainkan juga menyentuh aspek moral publik karena beasiswa lpdp dibiayai oleh dana rakyat melalui apbn dan dana abadi pendidikan [SEP]
"Amure menekankan bahwa seleksi LPDP tidak cukup hanya menilai IPK, skor bahasa, atau kualitas universitas tujuan.",proses seleksi,Netral,amure menekankan bahwa seleksi lpdp tidak cukup hanya menilai ipk skor bahasa atau kualitas universitas tujuan,[CLS] proses seleksi [SEP] amure menekankan bahwa seleksi lpdp tidak cukup hanya menilai ipk skor bahasa atau kualitas universitas tujuan [SEP]
"Amure menekankan bahwa seleksi LPDP tidak cukup hanya menilai IPK, skor bahasa, atau kualitas universitas tujuan.",kualitas pendidikan,Netral,amure menekankan bahwa seleksi lpdp tidak cukup hanya menilai ipk skor bahasa atau kualitas universitas tujuan,[CLS] kualitas pendidikan [SEP] amure menekankan bahwa seleksi lpdp tidak cukup hanya menilai ipk skor bahasa atau kualitas universitas tujuan [SEP]
"Menurut dia, aspek rekam jejak, integritas, konsistensi sikap kebangsaan, serta rencana kontribusi konkret harus diuji lebih dalam dan terukur.",pengabdian alumni,Positif,menurut dia aspek rekam jejak integritas konsistensi sikap kebangsaan serta rencana kontribusi konkret harus diuji lebih dalam dan terukur,[CLS] pengabdian alumni [SEP] menurut dia aspek rekam jejak integritas konsistensi sikap kebangsaan serta rencana kontribusi konkret harus diuji lebih dalam dan terukur [SEP]
Ia juga mendorong penguatan monitoring pascastudi agar komitmen pengabdian tidak berhenti di atas kertas.,pengabdian alumni,Netral,ia juga mendorong penguatan monitoring pascastudi agar komitmen pengabdian tidak berhenti di atas kertas,[CLS] pengabdian alumni [SEP] ia juga mendorong penguatan monitoring pascastudi agar komitmen pengabdian tidak berhenti di atas kertas [SEP]
