Review,Aspect,Sentiment,Review_Clean
"Kebetulan, suami DS, yakni AP sama-sama penerima LPDP belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima.",kebijakan LPDP,Negatif,kebetulan suami ds yakni ap sama sama penerima lpdp belakangan ketahuan tidak memenuhi kewajiban pengabdian sesuai ketentuan sehingga disanksi wajib mengembalikan dana beasiswa yang diterima
"Beasiswa LPDP memang mewajibkan awardee atau penerimanya kembali ke Indonesia setelah menyelesaikan studi dengan skema 2N+1, yakni masa pengabdian dua kali masa studi ditambah satu tahun.",pengabdian alumni,Netral,beasiswa lpdp memang mewajibkan awardee atau penerimanya kembali ke indonesia setelah menyelesaikan studi dengan skema 2n 1 yakni masa pengabdian dua kali masa studi ditambah satu tahun
Muhdi menilai bahwa persoalan penerima LPDP yang tidak menjalankan kewajiban pengabdian semestinya sudah teratasi secara baik dengan adanya pengawasan pascastudi yang betul-betul cermat.,pengabdian alumni,Netral,muhdi menilai bahwa persoalan penerima lpdp yang tidak menjalankan kewajiban pengabdian semestinya sudah teratasi secara baik dengan adanya pengawasan pascastudi yang betul betul cermat
"Artinya, kata Ketua PGRI Jateng itu, jangan kemudian permasalahan penerima LPDP yang tidak menjalankan kewajiban pengabdian ternyata baru terekspose sekarang setelah adanya kasus DS.",pengabdian alumni,Negatif,artinya kata ketua pgri jateng itu jangan kemudian permasalahan penerima lpdp yang tidak menjalankan kewajiban pengabdian ternyata baru terekspose sekarang setelah adanya kasus ds
"Apakah mereka menjalankan kewajiban apa tidak? Kalau tidak, ya berikan sanksi.",kebijakan LPDP,Negatif,apakah mereka menjalankan kewajiban apa tidak kalau tidak ya berikan sanksi
"Atau, diberi sanksi setelah ada orang yang seperti ini (DS, red.",kebijakan LPDP,Negatif,atau diberi sanksi setelah ada orang yang seperti ini ds red
"Sementara itu, Direktur Utama LPDP Sudarto melaporkan sebanyak 44 penerima beasiswa (awardee) telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan.",pengabdian alumni,Negatif,sementara itu direktur utama lpdp sudarto melaporkan sebanyak 44 penerima beasiswa awardee telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan
"Sementara itu, Direktur Utama LPDP Sudarto melaporkan sebanyak 44 penerima beasiswa (awardee) telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan.",kebijakan LPDP,Negatif,sementara itu direktur utama lpdp sudarto melaporkan sebanyak 44 penerima beasiswa awardee telah dijatuhi sanksi karena tidak memenuhi kewajiban pengabdian sesuai ketentuan
"Dari jumlah tersebut, delapan orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima, sementara 36 lainnya masih dalam proses pemeriksaan.",kebijakan LPDP,Negatif,dari jumlah tersebut delapan orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima sementara 36 lainnya masih dalam proses pemeriksaan
"Kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan, sanksi termasuk pengembalian 8 orang, 36 lagi sedang dalam proses, katanya.",kebijakan LPDP,Negatif,kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan sanksi termasuk pengembalian 8 orang 36 lagi sedang dalam proses katanya
Ada pula yang telah menyelesaikan masa pengabdian atau mendapat penugasan resmi dari instansinya.,pengabdian alumni,Netral,ada pula yang telah menyelesaikan masa pengabdian atau mendapat penugasan resmi dari instansinya
"Dari jumlah tersebut, 8 orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima, sementara 36 lainnya masih dalam proses pemeriksaan.",kebijakan LPDP,Negatif,dari jumlah tersebut 8 orang telah diberikan sanksi wajib mengembalikan dana beasiswa yang diterima sementara 36 lainnya masih dalam proses pemeriksaan
"Kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan, sanksi termasuk pengembalian 8 orang, 36 lagi sedang dalam proses, kata Sudarto dalam konferensi pers APBN KiTa di Jakarta, Senin.",kebijakan LPDP,Negatif,kami sudah melakukan penelitian berhadap mungkin lebih dari 600 awardee dan dari jumlah tersebut yang sudah ditetapkan sanksi termasuk pengembalian 8 orang 36 lagi sedang dalam proses kata sudarto dalam konferensi pers apbn kita di jakarta senin
Ia menegaskan tidak seluruh laporan otomatis berujung pelanggaran.,dana beasiswa,Negatif,ia menegaskan tidak seluruh laporan otomatis berujung pelanggaran
"Terkait sanksi, Sudarto menyebut awardee yang melanggar bisa dikenai pengembalian dana beasiswa beserta bunga, serta pemblokiran untuk mengikuti program LPDP di masa mendatang.",kebijakan LPDP,Negatif,terkait sanksi sudarto menyebut awardee yang melanggar bisa dikenai pengembalian dana beasiswa beserta bunga serta pemblokiran untuk mengikuti program lpdp di masa mendatang
Ketentuan tersebut sudah tercantum dalam perjanjian yang ditandatangani penerima beasiswa.,kebijakan LPDP,Netral,ketentuan tersebut sudah tercantum dalam perjanjian yang ditandatangani penerima beasiswa
Itu uang dari pajak (rakyat) dan sebagian dari utang yang kita sisihkan untuk memastikan sumber SDM kita tumbuh.,dana beasiswa,Netral,itu uang dari pajak rakyat dan sebagian dari utang yang kita sisihkan untuk memastikan sumber sdm kita tumbuh
"Pemerintah, lanjutnya, akan menegakkan aturan yang berlaku agar penerima beasiswa memenuhi seluruh tanggung jawabnya kepada LPDP.",kebijakan LPDP,Netral,pemerintah lanjutnya akan menegakkan aturan yang berlaku agar penerima beasiswa memenuhi seluruh tanggung jawabnya kepada lpdp
"Selain pengembalian dana, Purbaya juga mempertimbangkan langkah tegas berupa pencantuman dalam daftar hitam (blacklist) di seluruh instansi pemerintah bagi pihak yang dinilai melanggar komitmen dan etika sebagai penerima beasiswa negara.",kebijakan LPDP,Negatif,selain pengembalian dana purbaya juga mempertimbangkan langkah tegas berupa pencantuman dalam daftar hitam blacklist di seluruh instansi pemerintah bagi pihak yang dinilai melanggar komitmen dan etika sebagai penerima beasiswa negara
Setiap rupiah yang diberikan adalah uang rakyat.,dana beasiswa,Netral,setiap rupiah yang diberikan adalah uang rakyat
"Maka, penerimanya bukan hanya dituntut berprestasi, tetapi juga memiliki komitmen kebangsaan dan orientasi pengabdian yang jelas,” kata pria yang akrab disapa Amure itu di Jakarta, Senin.",pengabdian alumni,Netral,maka penerimanya bukan hanya dituntut berprestasi tetapi juga memiliki komitmen kebangsaan dan orientasi pengabdian yang jelas kata pria yang akrab disapa amure itu di jakarta senin
"Berikutnya, Amure juga mendesak agar pemerintah dan LPDP untuk melakukan evaluasi menyeluruh serta memperketat proses seleksi penerima beasiswa.",proses seleksi,Netral,berikutnya amure juga mendesak agar pemerintah dan lpdp untuk melakukan evaluasi menyeluruh serta memperketat proses seleksi penerima beasiswa
"Menurut dia, kasus DS bukan sekadar isu personal atau unggahan media sosial, melainkan juga menyentuh aspek moral publik karena beasiswa LPDP dibiayai oleh dana rakyat melalui APBN dan dana abadi pendidikan.",dana beasiswa,Negatif,menurut dia kasus ds bukan sekadar isu personal atau unggahan media sosial melainkan juga menyentuh aspek moral publik karena beasiswa lpdp dibiayai oleh dana rakyat melalui apbn dan dana abadi pendidikan
"Menurut dia, kasus DS bukan sekadar isu personal atau unggahan media sosial, melainkan juga menyentuh aspek moral publik karena beasiswa LPDP dibiayai oleh dana rakyat melalui APBN dan dana abadi pendidikan.",kualitas pendidikan,Negatif,menurut dia kasus ds bukan sekadar isu personal atau unggahan media sosial melainkan juga menyentuh aspek moral publik karena beasiswa lpdp dibiayai oleh dana rakyat melalui apbn dan dana abadi pendidikan
"Amure menekankan bahwa seleksi LPDP tidak cukup hanya menilai IPK, skor bahasa, atau kualitas universitas tujuan.",proses seleksi,Netral,amure menekankan bahwa seleksi lpdp tidak cukup hanya menilai ipk skor bahasa atau kualitas universitas tujuan
"Amure menekankan bahwa seleksi LPDP tidak cukup hanya menilai IPK, skor bahasa, atau kualitas universitas tujuan.",kualitas pendidikan,Netral,amure menekankan bahwa seleksi lpdp tidak cukup hanya menilai ipk skor bahasa atau kualitas universitas tujuan
"Menurut dia, aspek rekam jejak, integritas, konsistensi sikap kebangsaan, serta rencana kontribusi konkret harus diuji lebih dalam dan terukur.",pengabdian alumni,Positif,menurut dia aspek rekam jejak integritas konsistensi sikap kebangsaan serta rencana kontribusi konkret harus diuji lebih dalam dan terukur
Ia juga mendorong penguatan monitoring pascastudi agar komitmen pengabdian tidak berhenti di atas kertas.,pengabdian alumni,Netral,ia juga mendorong penguatan monitoring pascastudi agar komitmen pengabdian tidak berhenti di atas kertas
"Amure berharap momentum itu menjadi titik evaluasi serius bagi LPDP untuk memperkuat sistem seleksi, mempertegas kontrak pengabdian, serta memastikan bahwa setiap penerima benar-benar memiliki komitmen membangun Indonesia.",pengabdian alumni,Netral,amure berharap momentum itu menjadi titik evaluasi serius bagi lpdp untuk memperkuat sistem seleksi mempertegas kontrak pengabdian serta memastikan bahwa setiap penerima benar benar memiliki komitmen membangun indonesia
"Amure berharap momentum itu menjadi titik evaluasi serius bagi LPDP untuk memperkuat sistem seleksi, mempertegas kontrak pengabdian, serta memastikan bahwa setiap penerima benar-benar memiliki komitmen membangun Indonesia.",proses seleksi,Netral,amure berharap momentum itu menjadi titik evaluasi serius bagi lpdp untuk memperkuat sistem seleksi mempertegas kontrak pengabdian serta memastikan bahwa setiap penerima benar benar memiliki komitmen membangun indonesia
"Kritisi penerima LPDP, DPR minta perketat seleksi beasiswa LPDP Kami meminta agar pemerintah memperketat seleksi LPDP.",proses seleksi,Netral,kritisi penerima lpdp dpr minta perketat seleksi beasiswa lpdp kami meminta agar pemerintah memperketat seleksi lpdp
Permintaan itu disampaikan Habib merespons kemunculan pernyataan seorang mantan penerima beasiswa LPDP berinisial DS yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian LPDP oleh suami DS.,pengabdian alumni,Negatif,permintaan itu disampaikan habib merespons kemunculan pernyataan seorang mantan penerima beasiswa lpdp berinisial ds yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian lpdp oleh suami ds
Permintaan itu disampaikan Habib merespons kemunculan pernyataan seorang mantan penerima beasiswa LPDP berinisial DS yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian LPDP oleh suami DS.,dana beasiswa,Negatif,permintaan itu disampaikan habib merespons kemunculan pernyataan seorang mantan penerima beasiswa lpdp berinisial ds yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian lpdp oleh suami ds
"Pernyataan yang disampaikan oleh alumni penerima LPDP yang viral itu menunjukkan bahwa masih ada yang belum sepenuhnya mematuhi aturan, kata Habib di Jakarta, Senin.",kebijakan LPDP,Netral,pernyataan yang disampaikan oleh alumni penerima lpdp yang viral itu menunjukkan bahwa masih ada yang belum sepenuhnya mematuhi aturan kata habib di jakarta senin
"Dia lalu memandang insiden itu menjadi alarm bagi pemerintah bahwa integritas dan komitmen kebangsaan calon penerima beasiswa LPDP harus diuji lebih dalam, bukan sekadar kecakapan akademik.",kualitas pendidikan,Netral,dia lalu memandang insiden itu menjadi alarm bagi pemerintah bahwa integritas dan komitmen kebangsaan calon penerima beasiswa lpdp harus diuji lebih dalam bukan sekadar kecakapan akademik
Ia mendukung langkah tegas LPDP yang berencana memanggil pihak terkait untuk klarifikasi dan pemberian sanksi jika terbukti melanggar ketentuan.,kebijakan LPDP,Netral,ia mendukung langkah tegas lpdp yang berencana memanggil pihak terkait untuk klarifikasi dan pemberian sanksi jika terbukti melanggar ketentuan
"Jika ada yang tidak menjalankan komitmennya, maka harus ada penegakan aturan yang tegas,” kata Habib.",kebijakan LPDP,Netral,jika ada yang tidak menjalankan komitmennya maka harus ada penegakan aturan yang tegas kata habib
Pramono mengaku betul-betul berkeinginan agar anak-anak Jakarta yang berprestasi di sekolah bisa mengenyam pendidikan hingga ke luar negeri melalui program LPDP yang dipersiapkan oleh pemerintah DKI Jakarta.,kualitas pendidikan,Netral,pramono mengaku betul betul berkeinginan agar anak anak jakarta yang berprestasi di sekolah bisa mengenyam pendidikan hingga ke luar negeri melalui program lpdp yang dipersiapkan oleh pemerintah dki jakarta
"Brian menjelaskan bahwa setiap tahunnya Indonesia mencetak sekitar 1,7 juta lulusan dari berbagai bidang strategis, mulai dari sains dan teknologi hingga ilmu sosial.",kualitas pendidikan,Netral,brian menjelaskan bahwa setiap tahunnya indonesia mencetak sekitar 1 7 juta lulusan dari berbagai bidang strategis mulai dari sains dan teknologi hingga ilmu sosial
"Saat ini, terdapat lebih dari 1,1 juta mahasiswa aktif yang biaya hidup dan SPP-nya ditanggung sepenuhnya oleh negara dengan total anggaran mencapai Rp16 triliun per tahun.",dana beasiswa,Netral,saat ini terdapat lebih dari 1 1 juta mahasiswa aktif yang biaya hidup dan spp nya ditanggung sepenuhnya oleh negara dengan total anggaran mencapai rp16 triliun per tahun
"Dengan penguatan ini, diharapkan tidak ada lagi anak bangsa yang terkendala biaya untuk mengenyam pendidikan tinggi di perguruan tinggi negeri maupun swasta.",kualitas pendidikan,Netral,dengan penguatan ini diharapkan tidak ada lagi anak bangsa yang terkendala biaya untuk mengenyam pendidikan tinggi di perguruan tinggi negeri maupun swasta
Seluruh penerima Beasiswa Fellowship Dokter Spesialis akan memperoleh pembiayaan pendidikan penuh (fully funded) dari LPDP.,kualitas pendidikan,Netral,seluruh penerima beasiswa fellowship dokter spesialis akan memperoleh pembiayaan pendidikan penuh fully funded dari lpdp
"Untuk selengkapnya, berikut terkait persyaratan dan jadwalnya.",proses seleksi,Netral,untuk selengkapnya berikut terkait persyaratan dan jadwalnya
Persyaratan Beasiswa Fellowship Dokter Spesialis 2026 Pendaftaran beasiswa ini dapat dilakukan melalui https://beasiswalpdp.,proses seleksi,Netral,persyaratan beasiswa fellowship dokter spesialis 2026 pendaftaran beasiswa ini dapat dilakukan melalui https beasiswalpdp
"Adapun persyaratan bagi pendaftar Beasiswa Fellowship Dokter Spesialis 2026 yang wajib dipenuhi adalah sebagai berikut: Terbuka bagi WNI yang berprofesi sebagai Dokter Spesialis, baik berstatus PNS maupun Non-PNS.",proses seleksi,Netral,adapun persyaratan bagi pendaftar beasiswa fellowship dokter spesialis 2026 yang wajib dipenuhi adalah sebagai berikut terbuka bagi wni yang berprofesi sebagai dokter spesialis baik berstatus pns maupun non pns
Wajib melampirkan surat penerimaan (LoA) dari Unit Penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku.,proses seleksi,Netral,wajib melampirkan surat penerimaan loa dari unit penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku
Wajib melampirkan surat penerimaan (LoA) dari Unit Penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku.,kualitas pendidikan,Netral,wajib melampirkan surat penerimaan loa dari unit penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku
"Tidak sedang menempuh (on going) pendidikan fellowship atau subspesialis di lembaga mana pun, baik di dalam maupun luar negeri.",kualitas pendidikan,Netral,tidak sedang menempuh on going pendidikan fellowship atau subspesialis di lembaga mana pun baik di dalam maupun luar negeri
"Menuliskan rencana pascastudi, komitmen untuk kembali ke tanah air, serta kontribusi yang akan diberikan bagi Indonesia.",pengabdian alumni,Positif,menuliskan rencana pascastudi komitmen untuk kembali ke tanah air serta kontribusi yang akan diberikan bagi indonesia
Tidak pernah dijatuhi sanksi disiplin berat (bagi PNS) atau memiliki catatan kegagalan/pembatalan beasiswa LPDP sebelumnya akibat kelalaian pribadi.,kebijakan LPDP,Negatif,tidak pernah dijatuhi sanksi disiplin berat bagi pns atau memiliki catatan kegagalan pembatalan beasiswa lpdp sebelumnya akibat kelalaian pribadi
"Bagi pendaftar yang dinyatakan lolos seleksi, perkiraan waktu mulai studi (intake) paling cepat adalah pada bulan Mei dan Juli, menyesuaikan dengan periode pendaftaran yang diikuti.",proses seleksi,Netral,bagi pendaftar yang dinyatakan lolos seleksi perkiraan waktu mulai studi intake paling cepat adalah pada bulan mei dan juli menyesuaikan dengan periode pendaftaran yang diikuti
Presiden Prabowo Subianto sendiri menargetkan LPDP dapat membiayai beasiswa 4.,dana beasiswa,Netral,presiden prabowo subianto sendiri menargetkan lpdp dapat membiayai beasiswa 4
"Pemerintah akan mulai memfokuskan pendanaan beasiswa pendidikan dari LPDP untuk keilmuan bidang Science, Technology, Engineering, and Mathematics (STEM) mulai tahun 2026 mendatang.",kualitas pendidikan,Netral,pemerintah akan mulai memfokuskan pendanaan beasiswa pendidikan dari lpdp untuk keilmuan bidang science technology engineering and mathematics stem mulai tahun 2026 mendatang
LPDP resmi berdiri melalui Peraturan Menteri Keuangan (PMK) Nomor 252/PMK.,kebijakan LPDP,Netral,lpdp resmi berdiri melalui peraturan menteri keuangan pmk nomor 252 pmk
"Adapun pada 2021, LPDP juga diberi mandat mengelola dana abadi riset, kebudayaan, dan pendidikan tinggi, bersama dengan kementerian/badan terkait lainnya.",dana beasiswa,Netral,adapun pada 2021 lpdp juga diberi mandat mengelola dana abadi riset kebudayaan dan pendidikan tinggi bersama dengan kementerian badan terkait lainnya
"Adapun pada 2021, LPDP juga diberi mandat mengelola dana abadi riset, kebudayaan, dan pendidikan tinggi, bersama dengan kementerian/badan terkait lainnya.",kualitas pendidikan,Netral,adapun pada 2021 lpdp juga diberi mandat mengelola dana abadi riset kebudayaan dan pendidikan tinggi bersama dengan kementerian badan terkait lainnya
"Adapun komponen beasiswa yang ditanggung LPDP mencakup biaya pendidikan, yaitu biaya pendaftaran, biaya SPP (tuition fee), tunjangan buku, biaya penelitian, biaya seminar internasional, biaya publikasi jurnal internasional.",kualitas pendidikan,Netral,adapun komponen beasiswa yang ditanggung lpdp mencakup biaya pendidikan yaitu biaya pendaftaran biaya spp tuition fee tunjangan buku biaya penelitian biaya seminar internasional biaya publikasi jurnal internasional
"Tahapan pendaftaran beasiswa LPDP umumnya mencakup seleksi administrasi, seleksi bakat skolastik, dan seleksi substansi.",proses seleksi,Netral,tahapan pendaftaran beasiswa lpdp umumnya mencakup seleksi administrasi seleksi bakat skolastik dan seleksi substansi
Beasiswa Perguruan Tinggi Utama Dunia (PTUD) Beasiswa PTUD adalah program beasiswa yang diperuntukkan bagi WNI yang telah memperoleh LoA dari perguruan tinggi utama dunia untuk menempuh jenjang pendidikan magister dan doktor.,kualitas pendidikan,Netral,beasiswa perguruan tinggi utama dunia ptud beasiswa ptud adalah program beasiswa yang diperuntukkan bagi wni yang telah memperoleh loa dari perguruan tinggi utama dunia untuk menempuh jenjang pendidikan magister dan doktor
